Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2/8/2016,3749,3789,3715.05,3728,3732.55,559505,20989.79
2/9/2016,3685,3689,3620,3659.9,3657.1,657011,23975.96
2/10/2016,3639.85,3718,3600,3694.6,3678.55,795377,29027.56
2/11/2016,3651.1,3664.3,3518.5,3546,3541.45,1066224,38117.89
2/12/2016,3570,3588,3461,3544.5,3549.65,1211696,42750.82
2/15/2016,3605.95,3724.9,3604.4,3716.05,3711.25,1182286,43377.92
2/16/2016,3725.25,3748.95,3651.2,3693.05,3705.2,753873,27979.68
2/17/2016,3679.9,3755,3661.5,3751,3749.15,652019,24160.94
2/18/2016,3781.25,3796.85,3622.1,3646,3653.25,1243826,45975.28
2/19/2016,3640,3640,3559,3560,3579.15,718677,25799.2
2/22/2016,3539,3545,3491.55,3524.3,3520.8,1291463,45468.72
2/23/2016,3530,3568.45,3480,3488,3487.4,796836,28078.51
2/24/2016,3499.95,3530,3480,3492,3489.7,605914,21243.08
2/25/2016,3509.65,3510,3401,3430,3414.15,840542,29016.04
2/26/2016,3452,3459.1,3375.1,3420.5,3409.2,831491,28306.11
2/29/2016,3425,3434.95,3193.25,3263,3236.5,2218323,73042.14
3/1/2016,3200.9,3510,3200.9,3496,3494.4,1924803,65545.1
3/2/2016,3542.95,3627.7,3540.05,3615,3612.65,1236996,44376.41
3/3/2016,3625.8,3647,3578,3611,3608.65,742263,26775.1
3/4/2016,3619,3619,3526,3567,3555.1,610234,21706.75
3/8/2016,3552.95,3598.95,3450.6,3457,3462.65,1100041,38672.75
3/9/2016,3454.85,3600,3441.1,3596.3,3576.4,752948,26567.73
3/10/2016,3600,3634.7,3573.4,3625,3627.2,1016572,36736.01
3/11/2016,3633.7,3690,3616.05,3636,3641.2,1002559,36651.59
3/14/2016,3660,3684,3627.05,3644,3648.15,483295,17675.78
3/15/2016,3670,3679.9,3615.5,3656.05,3654.55,688839,25169.42
3/16/2016,3650,3675,3637.5,3672.55,3667.35,459188,16797.56
3/17/2016,3686.35,3750,3620,3627.2,3635.45,710449,26311.54
3/18/2016,3640,3649.7,3557.05,3622.95,3621.4,1073782,38643.9
3/21/2016,3630.1,3678.8,3605,3669.05,3669.55,474712,17305.59
3/22/2016,3669,3735.95,3652,3690,3699.55,713115,26389.35
3/23/2016,3711.85,3744,3666.45,3723.1,3736,586282,21807.83
3/28/2016,3759,3777.8,3629.95,3649.85,3638.95,743468,27460.81
3/29/2016,3649,3769,3645,3725,3729.95,686482,25538.08
3/30/2016,3745,3749.9,3684,3725,3727.45,872340,32386.34
3/31/2016,3739.5,3748.75,3664,3710.25,3716.3,1223191,45351.83
4/1/2016,3700.45,3764.95,3682,3720,3723.2,769731,28644.75
4/4/2016,3735,3751.5,3676,3678.9,3683.25,299849,11103
4/5/2016,3676,3696.9,3536.5,3546,3554.85,826024,29950.91
4/6/2016,3568,3607.3,3546,3566,3573.05,664480,23758.66
4/7/2016,3556.5,3556.5,3450,3468,3471,1221608,42431.02
4/8/2016,3460,3474,3418.5,3437.05,3430.65,1631533,56136.64
4/11/2016,3437,3488,3423,3480,3478.65,970375,33584.67
4/12/2016,3470.2,3609.85,3465.05,3564.5,3573.7,1404427,50000.34
4/13/2016,3613,3745.35,3606.6,3744,3731.6,1107727,40823.03
4/18/2016,3720.8,3750,3680,3712.8,3718.95,999621,37220.78
4/20/2016,3724.35,3724.35,3651,3665.1,3670.05,1830988,67266.41
4/21/2016,3695,3737.25,3674,3703,3705.3,1928958,71608.2
4/22/2016,3703,3833,3680.1,3815.2,3816.05,1165761,44103.87
4/25/2016,3806.1,3842,3715.15,3730,3727.95,838216,31515.41
4/26/2016,3704.05,3894,3691.9,3858,3871.55,2782566,106201.37
4/27/2016,3841.1,3932.75,3830.25,3848,3859.4,1388262,53918.27
4/28/2016,3819,3854,3735.1,3749,3747.95,1821236,69189.74
4/29/2016,3742,3820,3725,3795,3794.65,962848,36348.07
5/2/2016,3799.9,3840,3751.6,3837,3830.85,762337,28994.72
5/3/2016,3840.8,3879,3795.7,3814,3819.95,795697,30556.64
5/4/2016,3800,3844,3796.05,3810,3811.55,557609,21309.03
5/5/2016,3825,3850,3802,3843.5,3836.85,485772,18590.46
5/6/2016,3829.95,3835,3802,3825,3818.95,411877,15713.14
5/9/2016,3830,3878,3825,3858,3846.5,771389,29701.35
5/10/2016,3850.5,3897.05,3835.1,3858,3844.8,1094666,42263.57
5/11/2016,3800,3898,3790,3892.05,3890.05,679706,26301.61
5/12/2016,3884.85,3909.8,3841.5,3861.95,3854.2,857976,33196.94
5/13/2016,3856,3877.9,3828,3851,3846.25,435056,16755.06
5/16/2016,3870,3895,3840,3890,3881.6,878812,33932.07
5/17/2016,3891.05,3969,3886.25,3945.05,3950.7,865028,34042
5/18/2016,3928.8,3939,3805.05,3907.1,3914.9,1921044,74373.28
5/19/2016,3900,3940,3881,3907.1,3926.6,679821,26611.81
5/20/2016,3883.8,3959,3881.1,3941.9,3944.95,485214,19079.1
5/23/2016,3964,3968.3,3900,3904,3913.85,348354,13738.21
5/24/2016,3913.8,3937.95,3893.15,3928.95,3924.2,283533,11110.68
5/25/2016,3948,4072,3940,4064,4060.95,842663,33889.84
5/26/2016,4064,4125,4027.2,4120,4118,1074664,43985.81
5/27/2016,4114.7,4162,4091.05,4132.2,4146.6,880888,36443.25
5/30/2016,4132,4155.2,4054,4069.15,4071.75,555311,22753.9
5/31/2016,4060,4180,4055.05,4154.05,4161.6,775477,32077.19
6/1/2016,4170.7,4199.95,4150,4154.55,4165.35,647041,26997.5
6/2/2016,4150,4194.95,4124,4184,4186.65,411143,17108.09
6/3/2016,4192.15,4235,4180,4213,4217.95,591630,24945.43
6/6/2016,4216,4217,4118,4140,4142,443085,18395.19
6/7/2016,4175,4188.95,4118,4135.05,4135.65,471388,19574.58
6/8/2016,4131,4169.8,4124.7,4164.95,4160.1,417715,17342.77
6/9/2016,4152.05,4189.75,4140,4169.9,4169.15,305434,12720.28
6/10/2016,4165.1,4197,4100,4100.05,4111.5,464892,19298.63
6/13/2016,4074,4150,4062,4149,4134.75,385639,15833.48
6/14/2016,4145,4155.9,4096,4099.95,4104.5,403193,16622.42
6/15/2016,4125,4215,4112.1,4211.5,4209.6,510807,21247.07
6/16/2016,4160,4164,4062,4080,4084.1,1118517,45828.09
6/17/2016,4115,4158,4093.45,4093.45,4114.5,951658,39316.82
6/20/2016,4076.55,4144.8,4065.7,4138,4133.2,667114,27479.51
6/21/2016,4146,4168.1,4109,4145,4157.4,512383,21226.03
6/22/2016,4145,4180.5,4125.05,4150,4151.35,417540,17371.18
6/23/2016,4151.9,4175,4120.45,4165.8,4168.6,341093,14150.91
6/24/2016,4053,4092.1,3866.6,4084,4070.05,1559787,62723.77
6/27/2016,4061,4061,4004.1,4026,4025.1,836629,33709.39
6/28/2016,4041.1,4081.95,4040,4076.45,4078.7,626447,25467.47
6/29/2016,4100,4141,4089.2,4122.75,4131.25,646945,26631.19
6/30/2016,4179.9,4200,4145.55,4199.7,4187.2,770542,32122.57
7/1/2016,4188.6,4214.2,4132,4166,4165.4,804652,33539.06
7/4/2016,4171,4190.5,4155.75,4180,4173.8,343648,14339.91
7/5/2016,4180,4202,4150,4176,4173.35,282439,11794.03
7/7/2016,4181.1,4189.9,4125,4145.9,4141.1,325843,13509.22
7/8/2016,4142,4175.65,4126,4163.9,4161.8,261295,10868.33
